ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Media_IDs,comment,comment_french
LX000295,xed,ghwáɗák,adj,,b0a90ca79c5d67b7b23e05bbc38bcdb0,,
LX000296,xed,ghwàɗàkà,np,,,,
LX000297,xed,ghwághù,v,,931ded337930724a98e508729f57a845,,
LX000298,xed,ghwálá,v.intr/tr,,,,
LX000299,xed,ghwálákú,vn,,c1f6814d71f0d71300d3ca03db19e712,,
LX000300,xed,ghwàlíŋwà,n,,787028cc81dbe048fc5fcb87212e7bbd,,
LX000301,xed,ghwán,num,,,,
LX000302,xed,ghwáŋ,num,,,,
LX000303,xed,ghwáŋ ndá,num,,,,
LX000304,xed,ghwáŋ ndá hùtáf,num,,,,
LX000305,xed,ghwáŋ ndá ndéŋ,num,,,,
LX000306,xed,ghwàndàlá,n,,,,
LX000307,xed,ghwání,n,,,,
LX000308,xed,ghwáná ngwɗìdár,n,,6d9fb16837339866118d105f0fc035c5,,
LX000309,xed,ghwànáfghwà,v.tr,,,,
LX000310,xed,ghwànák,n,,,,
LX000311,xed,ghwàrèkwá,n,,,,
LX000312,xed,ghwàvíɗ,n,,,,
LX000313,xed,ghwàvíɗá gù,n,,,,
LX000314,xed,ghwáyák,n,,,,
LX000315,xed,ghwàzíkw,n,,,,
LX000316,xed,ghwázím,n,,,,
LX000317,xed,ghwßìhlá,n,,,,
LX000318,xed,ghzlə́ŋ,n,,,,
LX000319,xed,ghzlà,n,,,,
LX000320,xed,ghzlá,v,,,,
LX000321,xed,ghù,vn,,,,
LX000322,xed,ghá,pron,,,,
LX000323,xed,-ghà,gram,,,,
LX000324,xed,ghà ghrú,vn,,,,
LX000325,xed,ghàbà,n,,,,
LX000326,xed,ghùɓù,n,,,,
LX000327,xed,ghùɓá,v.tr,,,"cannot be used with human beings, or animals washing themselves","ne peut s’employer pour “se laver” (humains, animaux)"
LX000328,xed,ghùɓìhlá,n,,,,
LX000329,xed,ghóbásá,v,,,,
LX000330,xed,ghùɓású,vn,,,,
LX000331,xed,ghùɓàsá,v.intr,,,,
LX000332,xed,ghódzì,n,,,,
LX000333,xed,ghùdzá,v.tr,,,,
LX000334,xed,ghùdzàɓ,n,,,,
LX000335,xed,ghùdzìf,n,,,,
LX000336,xed,ghàdìgír,n,,,,
LX000337,xed,ghèghéɗ,n,,,,
LX000338,xed,ghúlpá,v.intr,,,,
LX000339,xed,ghúlpá-kú,vn,,,,
LX000340,xed,ghúlví,n,,,,
LX000341,xed,ghàlyá,adv,,,,
